,kod_pkd,opis,labels
87551,3317,"skip to navigation skip to content lokom-tor troszczymy się o twoją przyszłość&#8230; strona główna o nas oferta rodo dokumenty kontakt o nas home / o nas przedsiębiorstwo handlowo-usługowe lokom-tor powstało w 1993 roku. podstawowym zakresem działalności była i jest branża kolejowa, dla której świadczymy usługi kompleksowej obsługi firm w następujących zakresach… budowa, modernizacja, remonty i bieżące utrzymanie infrastruktury kolejowej obejmujące:nawierzchnię torową, rozjazdy i skrzyżowania t",258
111214,1812,"branża: drukarstwo | produkty: etykiety samoprzylepne, folie | usługi: druk fleksograficzny",81
56046,2815,firma zajmuje się produkcją kół pasowych wielorowkowych.,204
11928,2591,produkcją bębnów z metalu dla przemysłu naftowego.,175
30465,2431,firma zajmuje się produkcją sztab ciągnionych na zimno dla urządzeń dźwigowych.,144
94889,2562,spawanie oraz naprawa maszyn i urządzeń wraz z działalnością towarzyszącą.,170
15357,2594,produkcją tulei metalowych niegwintowanych.,178
6754,2552,obróbką cieplną stopów metali.,167
25864,2751,produkcją ekspresów do kawy i herbaty.,197
94566,2572,"usługi ślusarskie. spawane konstrukcje stalowe. usługi budowlane, wszystko w branży budowlanej.",173
43920,2446,firma zajmuje się produkcją stopów uranu o wysokiej wytrzymałości.,153
17735,2391,"wytwarzaniem ściernego ziarna na podłożu z kartonu, nawet zszytego.",140
27043,2342,produkcja ceramicznych muszli wc zabudowanych,124
77390,1812,produkcja serigraficzna.,81
89136,1421,"szew bunadu, siodło akcesoriów.",50
10519,3109,"branża: meble | produkty: sofy, narożniki, fotele, pufy | usługi: produkcja mebli",242
14953,1085,produkcja dań gotowych z ryb słodkowodnych,20
58863,1812,firma zajmuje się drukowaniem prezentacyjnych folderów firmowych,81
56414,2842,firma zajmuje się produkcją obrabiarek do cięcia szkła na zimno.,213
44902,2540,firma zajmuje się walcowaniem metalu.,164
18774,2433,składaniem na zimno wyrobów płaskich do profili otwartych.,146
9079,1391,produkcja dzianin z nowych włókien,36
88197,1330,nadruki reklamowe/t-shirty itp.,35
40578,1424,firma zajmuje się produkcja narzut futrzanych,53
1902,2790,produkcją maszyn do cynkowania elektrolitycznego.,199
20748,1623,fabrykacją ram konstrukcyjnych do zabudowy drewnianej,65
3923,1073,produkcja gotowych klusek pakowanych,15
80865,2830,"rozwój i sprzedaż urządzeń do produkcji jaj, a tym samym działalność kompatybilna.",211
38915,1104,firma zajmuje się produkcja win specjalnich aromatycznych,28
31477,1039,firma zajmuje się produkcja pakowanych selerów obranych,6
7925,3109,"branża: opakowania | produkty: plomby termokurczliwe, etykiety termokurczliwe | usługi: co-packing (pakowanie), nadruk na foliach, cięcie folli",242
31071,1020,firma zajmuje się pakowaniem kawioru luksusowego,3
58945,1813,firma zajmuje się fotoskładem publikacji czasopism branżowych,82
99604,3109,stolarka i produkcja mebli.,242
47960,1626,firma zajmuje się produkcja drewnianych wałków opałowych,68
9401,1393,produkcja dywanów awangardowych,38
5877,1089,produkcja białka owadziego,22
11406,1511,wykańczaniem skór premium,57
67320,2225,firma zajmuje się szlifowaniem plexi i poliwęglanu,111
22316,2444,produkcją prętów z brązu.,151
43897,2446,firma zajmuje się produkcją naturalnego uranu z rudy.,153
81596,3299,produkcja i grawerowanie laserowe artykułów profilujących. handel artykułami profilującymi.,251
88497,1032,tłoczenie jabłek dla osób prywatnych. inne działania na obszarze lokalnym (algard) zostaną ustanowione w odpowiednim czasie.,5
39778,1391,firma zajmuje się produkcja dzianin funkcyjnych,36
107431,3099,działalność inwestycyjna.,237
104386,3299,produkcja wyposażenia do przyczep kempingowych.,251
46082,2612,firma zajmuje się produkcją kart interfejsu do odczytu kodów.,181
81026,1013,piekarnia kiełbas i wędzarnia.,2
85860,2553,prace spawalnicze i wszystko w ramach prac serwisowych.,168
87223,3320,"home o nas realizacje oferta produkty pomiary online kariera rodo kontakt o nas witamy na stronie firmy cat traffic sp. z o.o. zajmującej się budową i integracją systemów elektroniki drogowej. we współpracy z firmami cichonautomatisierungstechnik gmbh (niemcy) i ird pat – international road dynamics inc. (kanada), specjalizujemy się w dostarczaniu technologii związanych z pomiarami ruchu drogowego i z wdrażaniem systemów ważenia preselekcyjnego pojazdów ciężarowych tzw. hswim. w ramach prowadzon",261
10673,2573,produkcją form do odlewów.,174
75262,2720,firma zajmuje się produkcją akumulatorowych systemów magazynowania energii do ładowania pojazdów.,192
21359,2443,produkcją prętów i kształtowników z cynku.,150
39422,1310,firma zajmuje się mechaniczna obróbką lnu,33
74709,3320,firma zajmuje się instalowaniem maszyn do rozdzielania izotopów.,261
98420,2572,"zamki, okucia, usługi montażowe i konsultacyjne.",173
31382,1032,firma zajmuje się produkcja soku buraczano-jabłkowego,5
49326,1724,firma zajmuje się produkcja tekstylnych pokryć ściennych na bazie papieru,77
110570,2219,"nvh expertise nvh solutions mobility trends career company sustainability media de vibracoustic. driving comfort. we are a leading global automotive noise, vibration and harshness expert we are a leading global automotive noise, vibration and harshness (nvh) expert, providing innovative solutions for all current and future mobility challenges of our automotive customers. we specialize in creating excellent customized nvh solutions for drive train and chassis applications, leveraging our deep exp",106
24043,2452,odlewnictwem staliwa dla przemysłu szklarskiego.,155
19309,2399,produkcją wełny żużlowej do izolacji cieplnej.,141
57217,2920,firma zajmuje się produkcją nadwozi do samochodów specjalnych.,224
77458,2212,"produkcja, dalszy rozwój i sprzedaż masy ciernej całkowicie pokrytej podkładem do mieszania z gumą oraz produkcja bieżników do opon samochodowych, a także udział w spółkach o działalności pokrewnej. obrót akcjami, walutami, odsetkami, surowcami i innymi p",105
58954,1813,firma zajmuje się składaniem katalogów eksportowych do druku,82
67982,2332,firma zajmuje się produkcja ceramicznych elementów prefabrykowanych budowlanych,122
10991,2829,produkcją maszyn do mycia beczek.,210
56321,2841,firma zajmuje się produkcją centrów obróbkowych 5-osiowych.,212
58889,1812,firma zajmuje się drukowaniem biuletynów branżowych wydawanych co tydzień,81
11055,3291,"branża: budownictwo | produkty: pędzle, szczotki, wałki i akcesoria | usługi: produkcja pędzli, narzędzi malarskich, wałków malarskich",250
55220,2711,firma zajmuje się produkcją prostowników do galwanizerni.,190
27561,2345,produkcja ceramicznych pojemników przemysłowych,127
91479,2599,produkcja i rozwój klatek dla zwierząt.,179
87424,1623,"cenimy twoją prywatność używamy plików cookie, aby ulepszyć twoje wrażenia z przeglądania, wyświetlać spersonalizowane reklamy lub treści i analizować nasz ruch. klikając „akceptuj”, wyrażasz zgodę na używanie przez nas plików cookie. polityka cookies konfiguruj odrzuć akceptuj przejdź do treści facebook linkedin +48 666 883 475 biuro@konstrukcyjny.pl ul. kolejowa 1, wschowa produkty o nas technologia domki nad jeziorem galeria projektów kontakt blog search wyszukaj gdzie siła konstrukcji spotyk",65
18464,2432,produkcją wyrobów płaskich stalowych do produkcji rur o małej średnicy.,145
1499,2511,"branża: budownictwo | produkty: kontenery, akcesoria do kontenerów | usługi: projektowanie i produkcja kontenerów",158
80187,1105,"produkcja piwa mikrowarzonego, dystrybucja i sprzedaż piwa mikrowarzonego.",29
105333,3109,"produkcja i sprzedaż mebli głównie z corianu i drewna, a także ich montaż.",242
11952,2225,cięciem laserowym plexi,111
1691,1031,produkcja mączki ziemniaczanej dla piekarni,4
4573,2812,produkcją wyposażenia do przekładni hydrokinetycznych.,201
77633,2553,warsztat mechaniczny.,168
22688,2445,produkcją kształtowników z chromu dla budownictwa.,152
15583,2223,branża: marketing i reklama | produkty: brak | usługi: brak,109
32266,1073,firma zajmuje się produkcja klusek leniwych,15
58550,1811,firma zajmuje się drukowaniem gazet codziennych skierowanych do miast akademickich,80
43825,2445,firma zajmuje się produkcją taśm z chromu.,152
27777,2351,produkcja cementu hydraulicznego do zapraw murarskich,129
43201,2433,firma zajmuje się produkcją otwartych kształtowników stalowych poprzez kształtowanie stopniowe na zimno w walcowniach.,146
57140,2910,firma zajmuje się produkcją samochodów dostawczych z napędem hybrydowym.,223
3416,1062,rafinacją oleju kukurydzianego,12
8477,1320,produkcja tkanin obiciowych designerskich,34
89764,2660,"inwestycje w akcje i papiery wartościowe, a także inne spółki.",187
94621,1413,składanie i haftowanie bunadu.,46
21157,1612,mechaniczną obróbką drewna na zlecenie,62
29632,2399,firma zajmuje się produkcją wyrobów z różnych substancji mineralnych do zastosowań szkoleniowych.,141
80628,3100,"sprzedaż mebli, oprawa obrazów, naprawa mebli.",238
58259,1820,firma zajmuje się reprodukcja taśm wideo dla celów szkoleniowych,84
88302,2651,"działalność rentowna komercyjnie poprzez rozwój, produkcję i marketing systemów automatyki przemysłowej do pomiarów położenia i geometrii, w tym eksport i import tej technologii. musi istnieć możliwość uczestniczenia w innych firmach.",185
83474,1820,"usługi doradcze w zakresie mediów, przede wszystkim produkcja dźwięku i obrazu.",84
100377,2511,"produkcja mechaniczna, naprawa/konserwacja łodzi, zatrudnianie personelu, pozostała działalność morska i przemysłowa.",158
103122,3109,redesign i sprzedaż mebli. wynajem mebli. tapicerka mebli.,242
11139,1429,produkcja dodatków odzieżowych sportowych,54
102914,3299,rozwój i sprzedaż sprzętu bezpieczeństwa.,251
92829,2015,"napędzanie produkcji gleby o różnej jakości, opartej głównie na odpadach ogrodowych i innym materiale organicznym.",91
320,1011,ubojem bydła i produkcja tusz,0
92828,1626,"produkcja i sprzedaż drewna opałowego, wynajem środków trwałych oraz inwestycje w inne spółki i inne produkty/usługi, które naturalnie się z tym łączą.",68
7529,1813,cyfrową edycją skanów do projektów,82
75124,3316,firma zajmuje się naprawą silników tłokowych dla helikopterów.,257
45787,2594,firma zajmuje się produkcją podkładek do łożysk.,178
97310,2652,"produkcja, handel i naprawa zegarków i biżuterii.",186
105746,1052,"produkuj różne produkty spożywcze. lody, soki, pieczenie chleba, ogólne gotowanie od a do z. produkuj przepisy itp. prowadź firmę cateringową w dłuższej perspektywie.",10
32024,1062,firma zajmuje się produkcja skrobi modyfikowanej,12
83108,1071,sprzedaż wypieków na zamówienie.,13
68183,2341,firma zajmuje się produkcja ceramicznych figurek reklamowych,123
43391,2441,firma zajmuje się produkcją folii z metali szlachetnych.,148
103286,2562,"wykonywanie prac mechanicznych oraz innych czynności, które w naturalny sposób się z tym pokrywają, w tym uczestnictwo w innych spółkach o podobnej działalności oraz kupno i sprzedaż udziałów lub zainteresowanie się innymi przedsiębiorstwami w inny sposób",170
12192,1012,produkcja mięsa drobiowego na potrzeby gastronomii i handlu,1
28090,2361,produkcja cegieł z krzemianu wapnia,131
42195,2221,produkcja elastycznych rur kanalizacyjnych,107
110705,3312,"strona główna usługi produkty faq kontakt zakład mechaniczny- sobiesiak witamy na naszej stronie zakład mechaniczny - sobiesiak istnieje od 1998 roku. specjalizujemy się w dziedzinie usług dla rozlewni gazu płynnego. prowadzimy regenerację i legalizację wszystkich typów butli gazowych, w ilościach kilkaset tysięcy rocznie. przygotowujemy zbiorniki lpg do ponownego montażu wraz z renowacją, badaniami okresowymi i magazynowaniem. produkujemy i remontujemy urządzenia, wyposażenie i części zamienne",253
24838,2599,"branża: motoryzacja | produkty: części zamienne z metalu dla przemysłu motoryzacyjnego, rolniczego i maszynowego | usługi: tłoczenie i giącie części, malowanie proszkowe, cynkowanie, czerninienie",179
85291,2712,"produkcja dieslowo-elektrycznych i hybrydowo-elektrycznych układów napędowych dla statków m.in. tablice, produkty elektromechaniczne, automatyka, systemy bezpieczeństwa, przetwornice częstotliwości itp., w tym rozwój, testowanie i serwis/dla takich system",191
107474,2562,"hydraulik przemysłowy, spawacz, transport i sprzątanie.",170
93629,2599,produkcja i sprzedaż wyrobów metalowych itp.,179
102915,2561,"konserwacja i obróbka powierzchni samochodów i łodzi. firma musi także posiadać możliwość sprzedaży towarów związanych z konserwacją i pielęgnacją samochodów i łodzi, a także sprzedaży materiałów reklamowych. firma zrealizuje również transport towarów do",169
2322,1039,produkcja marmolady grejpfrutowej,6
22857,2446,produkcją związków uranu metalicznego z innych rud.,153
111032,1392,"tel. 720 709 966 w godz. 9:00-14:00 logowanie / rejestracja mój koszyk 0,00 zł o nas oferta warto wiedzieć kontakt blog ? strona główna o nas o nas gryczane.pl to sklep eliks natural sp. z o.o. - proekologicznej firmy rodzinnej, istniejącej od 2004 roku. niemal 10 lat zajmujemy się produkcją wyrobów do spania - poduszek, wałków, materacy, produktów do relaksacji i rekonwalescencji - mat gorczycowych, poduszek do siedzenia (z dziurą, przeszywanych), poduszek na szyję (tzw. rogali), a także podusz",37
82008,1071,produkcja i sprzedaż wyrobów piekarniczych. produkcja i sprzedaż wyrobów artystycznych i rzemieślniczych.,13
89147,2829,"sprzedaż, wynajem, serwis i naprawa wózków widłowych i sprzętu transportowego, a także udział w innej działalności o tym samym celu.",210
25797,2910,produkcją autobusów przegubowych.,223
16301,2051,produkcja ekologicznych biopaliw płynnych,97
24951,3109,"branża: meble | produkty: fronty meblowe, listwy i zakończenia uchwytów | usługi: brak",242
58434,1814,firma zajmuje się przygotowaniem do wysyłki przesyłek wielkogabarytowych,83
26385,1723,produkcja gotowych do użycia arkuszy papieru specjalistycznego,76
48436,1628,firma zajmuje się wyplataniem dekoracji ściennych z wikliny,70
84542,2830,"produkcja sprzętu dla rolnictwa i przemysłu, sprzedaż i serwis maszyn rolniczych i co się z tym wiąże. obsługa branży rolniczej oraz sprzedaż produktów dla rolnictwa, rolnictwa i przemysłu.",211
5860,2551,pokrywaniem powłokami fosforanowymi w celu ułatwienia ciągnienia.,166
20579,2651,produkcją instrumentów do pomiaru obrotu.,185
30449,2431,firma zajmuje się produkcją prętów ciągnionych na zimno dla medycyny.,144
86552,1071,"skip to content o nas nasze produkty blog kontakt sklep konfigurator weselny pl o la baguette chwila słodkiego zapomnienia la baguette to doskonałe miejsce spotkań. gdzie jesteśmy ideą la baguette jest szukanie smaków wychodząc wciąż poza strefę komfortu oraz dbałość o najwyższą jakość produktów. la baguette wyjątkowe miejsce na słodkiej mapie krakowa. to wypieki tworzone z pasją, sercem i z pomysłem. firma jest efektem spotkania dwóch osób – justyny i magdy, które w grudniu 2013 roku postanowił",13
